name,neighborhood,artist,address,created_date,thumbnail_url,medium_url,full_url,latitude,longitude
Groundwork Somerville Data Mural,Union Square,"Emily Bhargava, PHA and the Green Team","100 South Street, Somerville, MA","Tue, 2013-07-30",http://www.somervilleartscouncil.org/sacfiles/imagecache/public_art_view/publicart/infographic bigger cropped_0.jpg,http://www.somervilleartscouncil.org/sacfiles/imagecache/porchfest_photo/publicart/infographic bigger cropped_0.jpg,http://www.somervilleartscouncil.org/sacfiles/publicart/infographic bigger cropped_0.jpg,42.3746788,-71.0915741
Gratitude,Union Square,Pauline Lim,"18 Kingman Rd , Somerville, MA","",http://www.somervilleartscouncil.org/sacfiles/imagecache/public_art_view/publicart/Gratitude72.jpg,http://www.somervilleartscouncil.org/sacfiles/imagecache/porchfest_photo/publicart/Gratitude72.jpg,http://www.somervilleartscouncil.org/sacfiles/publicart/Gratitude72.jpg,42.3789604,-71.09694329999999
robot switchbox,Union Square,"","75 Union Square, Somerville, MA","",http://www.somervilleartscouncil.org/sacfiles/imagecache/public_art_view/publicart/switchbox union sq2.jpg,http://www.somervilleartscouncil.org/sacfiles/imagecache/porchfest_photo/publicart/switchbox union sq2.jpg,http://www.somervilleartscouncil.org/sacfiles/publicart/switchbox union sq2.jpg,42.3797304,-71.0948226
quote switchbox,Union Square,The Miracle Five,"75 Union Square, Somerville, MA","",http://www.somervilleartscouncil.org/sacfiles/imagecache/public_art_view/publicart/switchbox union independent2.jpg,http://www.somervilleartscouncil.org/sacfiles/imagecache/porchfest_photo/publicart/switchbox union independent2.jpg,http://www.somervilleartscouncil.org/sacfiles/publicart/switchbox union independent2.jpg,42.3797304,-71.0948226
Fractal switchbox,Union Square,"","16 Bow St, Somerville, MA","",http://www.somervilleartscouncil.org/sacfiles/imagecache/public_art_view/publicart/fractal switchbox bow st.jpg,http://www.somervilleartscouncil.org/sacfiles/imagecache/porchfest_photo/publicart/fractal switchbox bow st.jpg,http://www.somervilleartscouncil.org/sacfiles/publicart/fractal switchbox bow st.jpg,42.3807323,-71.0971418
Bench with stone,Union Square,Kimo Griggs,"22 Union Square, Somerville, MA","",http://www.somervilleartscouncil.org/sacfiles/imagecache/public_art_view/publicart/union sq wooden bench with stone.jpg,http://www.somervilleartscouncil.org/sacfiles/imagecache/porchfest_photo/publicart/union sq wooden bench with stone.jpg,http://www.somervilleartscouncil.org/sacfiles/publicart/union sq wooden bench with stone.jpg,42.380268,-71.0967022
glass bench,Union Square,Aron Binkley,"60 Union Square, Somerville, MA","",http://www.somervilleartscouncil.org/sacfiles/imagecache/public_art_view/publicart/union sq glass bench.jpg,http://www.somervilleartscouncil.org/sacfiles/imagecache/porchfest_photo/publicart/union sq glass bench.jpg,http://www.somervilleartscouncil.org/sacfiles/publicart/union sq glass bench.jpg,42.379814,-71.0955939
Labyrinth,Union Square,Marty Cain,"22 Vinal Ave, Somerville, MA","",http://www.somervilleartscouncil.org/sacfiles/imagecache/public_art_view/publicart/IMG_0753.JPG,http://www.somervilleartscouncil.org/sacfiles/imagecache/porchfest_photo/publicart/IMG_0753.JPG,http://www.somervilleartscouncil.org/sacfiles/publicart/IMG_0753.JPG,42.3831334,-71.0978641
butterfly,Union Square,"","22 Vinal Ave, Somerville, MA","",http://www.somervilleartscouncil.org/sacfiles/imagecache/public_art_view/publicart/IMG_0752.jpg,http://www.somervilleartscouncil.org/sacfiles/imagecache/porchfest_photo/publicart/IMG_0752.jpg,http://www.somervilleartscouncil.org/sacfiles/publicart/IMG_0752.jpg,42.3831334,-71.0978641
Graffiti,Union Square,Ryan McEntee,"19 Union square , Somerville, MA","Sun, 2012-01-01",http://www.somervilleartscouncil.org/sacfiles/imagecache/public_art_view/publicart/McEntee_finishedbox2012crop.jpg,http://www.somervilleartscouncil.org/sacfiles/imagecache/porchfest_photo/publicart/McEntee_finishedbox2012crop.jpg,http://www.somervilleartscouncil.org/sacfiles/publicart/McEntee_finishedbox2012crop.jpg,42.3795414,-71.09629480000001
Bike Silhouette,Union Square,Ken Richardson,"41 Union Square , Somerville, MA","Sun, 2006-01-01",http://www.somervilleartscouncil.org/sacfiles/imagecache/public_art_view/publicart/Richardsonback.jpg,http://www.somervilleartscouncil.org/sacfiles/imagecache/porchfest_photo/publicart/Richardsonback.jpg,http://www.somervilleartscouncil.org/sacfiles/publicart/Richardsonback.jpg,42.3803444,-71.09672619999999
Hope,Union Square,Pauline Lim,"22 Vinal Ave, Somerville, MA","Sat, 2011-01-01",http://www.somervilleartscouncil.org/sacfiles/imagecache/public_art_view/publicart/IMG_0755.jpg,http://www.somervilleartscouncil.org/sacfiles/imagecache/porchfest_photo/publicart/IMG_0755.jpg,http://www.somervilleartscouncil.org/sacfiles/publicart/IMG_0755.jpg,42.3831334,-71.0978641
Flag Welcome sign,Union Square,"","22 Vinal Ave, Somerville, MA","",http://www.somervilleartscouncil.org/sacfiles/imagecache/public_art_view/publicart/IMG_0751.jpg,http://www.somervilleartscouncil.org/sacfiles/imagecache/porchfest_photo/publicart/IMG_0751.jpg,http://www.somervilleartscouncil.org/sacfiles/publicart/IMG_0751.jpg,42.3831334,-71.0978641
Painted Washington Street Switchbox,Union Square,Tova Speter,"222 washington                  
             Somerville","Wed, 2005-06-15",http://www.somervilleartscouncil.org/sacfiles/imagecache/public_art_view/publicart/tovaspeter1.jpg,http://www.somervilleartscouncil.org/sacfiles/imagecache/porchfest_photo/publicart/tovaspeter1.jpg,http://www.somervilleartscouncil.org/sacfiles/publicart/tovaspeter1.jpg,42.3794522,-71.09242019999999
Boys and Girls club mural,Union Square,Tova Speter,"181 Washington St, somerville, ma , Somerville, MA","Thu, 2006-06-01",http://www.somervilleartscouncil.org/sacfiles/imagecache/public_art_view/publicart/tova boys and girls bluc2.jpg,http://www.somervilleartscouncil.org/sacfiles/imagecache/porchfest_photo/publicart/tova boys and girls bluc2.jpg,http://www.somervilleartscouncil.org/sacfiles/publicart/tova boys and girls bluc2.jpg,42.380092,-71.091109
